Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006256732664202485	0.0	0.0	0.0	0.0	0.0	0.012311474463296335	0.0	0.0	0.0	0.0	0.0	0.0	0.020675297124589664	0.0	0.0	0.04014329828569961	0.0	0.0	0.0	0.0	0.016268780929080955	0.0	0.016422583355651835	0.03253033651958525	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010479200658548545	0.0	0.0	0.0	0.0	0.0	0.02023871815571351	0.0	0.0	0.0	0.0	0.0	0.0	0.053919787351368674	0.0	0.0	0.10644681165560899	0.0	0.0	0.008236948656170976	0.0	0.02519885651744859	0.00832695823445254	0.025169524905318087	0.049587660343067205	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014232807262259768	0.0	0.0	0.0	0.0	0.0	0.02742993006349556	0.0	0.0	0.0	0.0	0.0	0.0	0.07592175309512265	0.0	0.0	0.1503590516243287	0.0	0.0	0.019898488393845955	0.0	0.032838657422435684	0.020070816628490248	0.03271569862738731	0.06437409937411537	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0171402106096066	0.0	0.0	0.0	0.0	0.0	0.0353048777850417	0.0	0.0	0.0	0.0	0.0	0.0	0.0909589594930245	0.0	0.0	0.1795880858935002	0.0	0.0	0.036890987527354424	0.0	0.03873723748360036	0.03721451962564245	0.03919528852058668	0.07983110555243501	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01953376399321983	0.0	0.0	0.0	0.0	0.0	0.042243595723519975	0.0	0.0	0.0	0.0	0.0	0.0	0.10176983146376199	0.0	0.0	0.1999997761977942	0.0	0.0	0.062188243845445926	0.0	0.0436101275494048	0.06356585807910323	0.04391125638550702	0.09325445013906532	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021488671527939953	0.0	0.0	0.0	0.0	0.0	0.04939878643773624	0.0	0.0	0.0	0.0	0.0	0.0	0.11059807819498148	0.0	0.0	0.2163651340164633	0.0	0.0	0.10914458123207987	0.0	0.04760406684386726	0.11085906838655114	0.04851961212548245	0.10703402459530784	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02311798904359646	0.0	0.0	0.0	0.0	0.0	0.05839763795472216	0.0	0.0	0.0	0.0	0.0	0.0	0.1183709376255821	0.0	0.0	0.23007889602825377	0.0	0.0	0.2676239102172971	0.0	0.05090778759664762	0.35315680643562575	0.051241044452427345	0.12386941471681757	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024921686876921773	0.0	0.0	0.0	0.0	0.0	0.0650714735924871	0.0	0.0	0.0	0.0	0.0	0.0	0.12504857124598873	0.0	0.0	0.2415339061015902	0.0	0.0	2.936924371914388	0.0	0.05452109027612358	4.00735771982053	0.05390679928958045	0.13652462238377594	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025732899050086508	0.0	0.0	0.0	0.0	0.0	0.06713379887369016	0.0	0.0	0.0	0.0	0.0	0.0	0.13093448989412282	0.0	0.0	0.25181531185168843	0.0	0.0	141.3779246369725	0.0	0.05630663007843087	93.9153421165606	0.056516318861651677	0.14079224587737327	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02711406316521216	0.0	0.0	0.0	0.0	0.0	0.06602749165334336	0.0	0.0	0.0	0.0	0.0	0.0	0.043435451638729236	0.0	0.0	0.10922895215656535	0.0	0.0	7644.087398572585	0.0	0.05913391654445463	4619.201064801534	0.05868074291547778	0.13916801311737437	0.0	0.0	0.0	
